Nombre de délibération,COLL_NOM,COLL_SIRET,DELIB_ID,DELIB_DATE,DELIB_MATIERE_CODE,DELIB_MATIERE_NOM,DELIB_OBJET,BUDGET_ANNEE,BUDGET_NOM,PREF_ID,PREF_DATE,VOTE_EFFECTIF,VOTE_REEL,VOTE_POUR,VOTE_CONTRE,VOTE_ABSTENTION,DELIB_URL
47,Saint-etienne metropole (SEM),24420077000117,2022.00142,2022-03-24,,,Plan local d'urbanisme (PLU) de la commune de Genilac - Approbation de la modification simplifiée n°2,2022,urbanisme,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
48,Saint-etienne metropole (SEM),24420077000117,2022.00142,2022-03-24,,,Soutien au Gérontopôle Auvergne-Rhône-Alpes (AURA) - Avenant n°1 (année 2022) à la convention de financement triennale 2021-2023,2022,subventions,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
49,Saint-etienne metropole (SEM),24420077000117,2022.00143,2022-03-24,,,Plan local d'Urbanisme (PLU) de la commune de Saint-Romain-en-Jarez - Approbation de la modification simplifiée n°1,2022,Urbanisme,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
50,Saint-etienne metropole (SEM),24420077000117,2022.00144,2022-03-24,,,"Travaux d’extension basse tension, la Guithardière sur la commune de L’Etrat - Attribution d’un fonds de concours au SIEL",2022,Voirie,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
51,Saint-etienne metropole (SEM),24420077000117,2022.00147,2022-03-24,,,Programme Local de l'Habitat - Soutien de Saint-Etienne Métropole à la rénovation énergétique des copropriétés,2022,subventions,PREF042,2022-04-04,123,88,100,0,4,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
52,Saint-etienne metropole (SEM),24420077000117,2022.00148,2022-03-24,,,Liste des délibérations prises en application des délégations au Bureau : Bureau du 10 février 2022 (conformément à la délibération du Conseil Métropolitain du 17 juillet 2020),2022,,PREF042,2022-04-04,123,88,104,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
53,Saint-etienne metropole (SEM),24420077000117,2022.00148,2022-01-27,,,"Travaux de dissimulation des reseaux secs, rue du triolet sur la commune de villars - attribution d’un fonds de concours au siel",2022,Voirie,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
54,Saint-etienne metropole (SEM),24420077000117,2022.00149,2022-01-27,,,Durée d'amortissement des budgets réseaux de chaleur,2022,Environnement,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
55,Saint-etienne metropole (SEM),24420077000117,2022.0015,2022-01-27,,,Travaux de dissimulation de réseaux – Place Neyrand Thiollière - Commune de Lorette - Attribution d'un fonds de concours au SIEL,2022,Voirie,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
56,Saint-etienne metropole (SEM),24420077000117,2022.0015,2022-01-27,,,Plan Local d'Urbanisme (PLU) de La Valla-en-Gier - Modification simplifiée n°1- Modalités de mise à disposition du public,2022,Urbanisme,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
57,Saint-etienne metropole (SEM),24420077000117,2022.00152,2022-01-27,,,Liste des décisions prises en application des délégations au Président (conformément à la délibération du Conseil Métropolitain du 17 juillet 2020),2022,,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
58,Saint-etienne metropole (SEM),24420077000117,2022.00152,2022-01-27,,,Rapport de Saint-Etienne Métropole sur la situation en matière d'égalité femmes hommes pour l'année 2020,2022,,PREF042,2022-04-04,123,93,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
59,Saint-etienne metropole (SEM),24420077000117,2022.00153,2022-01-27,,,Travaux d'extension de réseau électrique secteur Fayet commune de Saint Christo-en-Jarez - Attribution d'un fonds de concours au Siel,2022,Voirie,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
60,Saint-etienne metropole (SEM),24420077000117,2022.00154,2022-01-27,,,"Travaux de dissimulation de réseaux secs"" Allée du Levant"" commune de La Fouillouse - Attribution d'un fonds de concours SIEL",2022,Voirie,PREF042,2022-04-04,123,92,110,0,0,https://www.saint-etienne-metropole.fr/la-metropole/vie-democratique/deliberations
